City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
1106677,Bambous Virieux,40,MU,1603343923,61,-20.34,57.76,79.0,13.87
5122534,Jamestown,90,US,1603343910,100,42.1,-79.24,52.0,4.7
2194098,Ahipara,100,NZ,1603344019,94,-35.17,173.17,59.63,7.05
4986020,Big Rapids,90,US,1603343971,93,43.7,-85.48,44.6,2.66
5969025,Haines Junction,4,CA,1603343768,81,60.75,-137.51,21.22,1.95
2022572,Khatanga,81,RU,1603343939,93,71.97,102.5,12.88,11.3
4160021,Jacksonville,75,US,1603344008,94,30.33,-81.66,75.99,6.93
415189,Aden,14,YE,1603343798,58,12.78,45.04,87.17,1.16
1626542,Sorong,60,ID,1603343842,75,-0.88,131.25,82.9,6.29
2449893,Tessalit,0,ML,1603343985,17,20.2,1.01,78.71,7.2
1732826,Mersing,40,MY,1603344021,70,2.43,103.84,87.8,5.82
1853174,Sakaiminato,75,JP,1603344021,88,35.55,133.23,64.4,11.41
3420846,Qaqortoq,29,GL,1603344021,54,60.72,-46.03,28.4,5.82
5265838,Oshkosh,90,US,1603343751,75,44.02,-88.54,41.0,3.36
2109701,Auki,88,SB,1603343949,69,-8.77,160.7,84.18,3.65
986717,Kruisfontein,0,ZA,1603343920,53,-34.0,24.73,64.2,4.12
3374083,Bathsheba,40,BB,1603343990,78,13.22,-59.52,82.4,16.11
2112802,Hasaki,75,JP,1603343918,68,35.73,140.83,72.0,5.82
5364271,Laguna,1,US,1603344023,67,38.42,-121.42,68.0,1.86
3832899,Viedma,99,AR,1603343911,74,-40.81,-63.0,54.0,1.01
5914132,Campbell River,5,CA,1603344024,75,50.02,-125.24,42.01,4.7
2208248,Kaitangata,96,NZ,1603343948,72,-46.28,169.85,57.0,3.0
967106,Oudtshoorn,75,ZA,1603344024,93,-33.59,22.2,55.4,4.7
2264557,Ponta do Sol,20,PT,1603343926,67,32.67,-17.1,62.6,5.82
1633034,Palu,41,ID,1603344024,60,-0.89,119.87,88.66,4.36
